"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 06 18:24:07 GMT 2023","Tue Jun 06 18:24:07 GMT 2023","146","","","","","","Get products by id",""
"passed","Tue Jun 06 18:24:08 GMT 2023","Tue Jun 06 18:24:08 GMT 2023","164","","","","","","Put by id",""
"passed","Tue Jun 06 18:24:06 GMT 2023","Tue Jun 06 18:24:07 GMT 2023","746","","","","","","Get products",""
"passed","Tue Jun 06 18:24:07 GMT 2023","Tue Jun 06 18:24:07 GMT 2023","152","","","","","","Get Auth Token",""
"passed","Tue Jun 06 18:24:07 GMT 2023","Tue Jun 06 18:24:08 GMT 2023","321","","","","","","Create a new category",""
"passed","Mon Jun 05 04:48:03 GMT 2023","Mon Jun 05 04:48:04 GMT 2023","786","","","","","","Get by id",""
"passed","Tue Jun 06 18:24:07 GMT 2023","Tue Jun 06 18:24:07 GMT 2023","159","","","","","","Get Forbidden Http response",""
